       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 22:23:31     -284.374259*       1.8430
LBFGS:    1 22:24:23     -284.476802*       1.6074
LBFGS:    2 22:25:29     -284.614669*       1.2552
LBFGS:    3 22:26:23     -284.733344*       1.0806
LBFGS:    4 22:27:16     -284.833515*       0.9463
LBFGS:    5 22:28:22     -284.911008*       0.7533
LBFGS:    6 22:29:20     -284.966674*       0.6366
LBFGS:    7 22:30:16     -285.009289*       0.5906
LBFGS:    8 22:31:20     -285.043687*       0.5956
LBFGS:    9 22:32:20     -285.071501*       0.6708
LBFGS:   10 22:33:17     -285.097199*       0.6526
LBFGS:   11 22:34:24     -285.124358*       0.5008
LBFGS:   12 22:35:30     -285.147599*       0.2521
LBFGS:   13 22:36:32     -285.162122*       0.3012
LBFGS:   14 22:37:29     -285.172212*       0.3165
LBFGS:   15 22:38:23     -285.183321*       0.2714
LBFGS:   16 22:39:17     -285.196599*       0.2895
LBFGS:   17 22:40:30     -285.213893*       0.2025
LBFGS:   18 22:41:29     -285.224061*       0.1613
LBFGS:   19 22:42:24     -285.231385*       0.1863
LBFGS:   20 22:43:19     -285.237186*       0.2145
LBFGS:   21 22:44:11     -285.243312*       0.1882
LBFGS:   22 22:45:08     -285.250658*       0.1427
LBFGS:   23 22:46:01     -285.255067*       0.1847
LBFGS:   24 22:47:04     -285.260885*       0.2466
LBFGS:   25 22:48:00     -285.267585*       0.2459
LBFGS:   26 22:48:58     -285.273570*       0.1445
LBFGS:   27 22:49:50     -285.277000*       0.1158
LBFGS:   28 22:50:49     -285.280010*       0.0965
LBFGS:   29 22:51:47     -285.282817*       0.0942
LBFGS:   30 22:52:45     -285.286809*       0.0807
LBFGS:   31 22:53:56     -285.291590*       0.1077
LBFGS:   32 22:55:03     -285.294269*       0.1331
LBFGS:   33 22:55:47     -285.296560*       0.1224
LBFGS:   34 22:56:54     -285.302051*       0.1013
LBFGS:   35 22:57:54     -285.305874*       0.1009
LBFGS:   36 22:58:52     -285.310135*       0.1258
LBFGS:   37 22:59:50     -285.312822*       0.1254
LBFGS:   38 23:00:49     -285.317232*       0.1083
