       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 22:32:57     -502.470338*       1.9039
LBFGS:    1 22:36:19     -502.594481*       1.5503
LBFGS:    2 22:40:06     -502.743050*       1.1261
LBFGS:    3 22:43:36     -502.855794*       0.8114
LBFGS:    4 22:47:04     -502.936870*       0.6059
LBFGS:    5 22:50:25     -502.989833*       0.4769
LBFGS:    6 22:53:47     -503.019557*       0.4290
LBFGS:    7 22:56:27     -503.039932*       0.5460
LBFGS:    8 23:00:08     -503.069723*       0.4148
LBFGS:    9 23:03:54     -503.088014*       0.2507
LBFGS:   10 23:06:53     -503.097040*       0.2669
