       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 10:17:40     -154.784471*       0.3002
LBFGS:    1 10:19:47     -154.788531*       0.2602
LBFGS:    2 10:23:14     -154.808982*       0.1789
LBFGS:    3 10:25:21     -154.812458*       0.1805
LBFGS:    4 10:29:00     -154.829536*       0.3366
LBFGS:    5 10:32:40     -154.843636*       0.4319
LBFGS:    6 10:36:42     -154.854116*       0.3675
LBFGS:    7 10:39:59     -154.865576*       0.2864
LBFGS:    8 10:43:37     -154.876653*       0.3303
LBFGS:    9 10:46:42     -154.890635*       0.2876
LBFGS:   10 10:50:10     -154.903138*       0.2637
LBFGS:   11 10:53:37     -154.911791*       0.2098
LBFGS:   12 10:57:17     -154.921365*       0.2401
LBFGS:   13 11:01:07     -154.932102*       0.2349
LBFGS:   14 11:04:58     -154.945735*       0.2635
LBFGS:   15 11:08:26     -154.956972*       0.2945
LBFGS:   16 11:11:54     -154.966905*       0.2432
LBFGS:   17 11:14:59     -154.976360*       0.2948
LBFGS:   18 11:18:38     -154.994884*       0.3707
LBFGS:   19 11:22:40     -155.017726*       0.3981
LBFGS:   20 11:26:54     -155.047064*       0.4659
LBFGS:   21 11:30:21     -155.069250*       0.4697
