       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 18:43:22     -497.135110*       1.8329
LBFGS:    1 18:46:29     -498.058652*       1.5566
LBFGS:    2 18:50:34     -500.755999*       0.5520
LBFGS:    3 18:52:59     -500.895859*       0.5001
LBFGS:    4 18:57:38     -501.699621*       0.5859
LBFGS:    5 19:00:46     -501.813443*       0.6010
LBFGS:    6 19:05:36     -502.503100*       0.7208
LBFGS:    7 19:09:16     -502.842305*       0.9236
LBFGS:    8 19:13:14     -503.328247*       1.0566
LBFGS:    9 19:19:01     -503.809663*       0.7679
LBFGS:   10 19:22:42     -504.131982*       0.6515
LBFGS:   11 19:27:45     -504.580268*       0.3319
LBFGS:   12 19:32:16     -504.760528*       0.2993
LBFGS:   13 19:36:18     -504.811762*       0.1702
LBFGS:   14 19:39:49     -504.866985*       0.1963
LBFGS:   15 19:44:14     -505.060896*       0.2635
LBFGS:   16 19:48:16     -505.115691*       0.2576
LBFGS:   17 19:51:48     -505.149614*       0.1934
LBFGS:   18 19:54:27     -505.176681*       0.1280
LBFGS:   19 19:57:38     -505.207571*       0.1107
LBFGS:   20 20:00:01     -505.220701*       0.0763
LBFGS:   21 20:02:48     -505.230240*       0.0731
LBFGS:   22 20:05:27     -505.237893*       0.0783
LBFGS:   23 20:08:27     -505.252823*       0.0877
LBFGS:   24 20:12:45     -505.279933*       0.1992
LBFGS:   25 20:16:17     -505.290858*       0.0949
LBFGS:   26 20:19:29     -505.302398*       0.0842
LBFGS:   27 20:21:36     -505.307688*       0.0709
LBFGS:   28 20:23:59     -505.317767*       0.0603
LBFGS:   29 20:26:05     -505.321346*       0.0422
