       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 04:30:14     -281.178782*       0.6762
LBFGS:    1 04:32:04     -281.247357*       0.6285
LBFGS:    2 04:34:13     -281.490520*       0.4437
LBFGS:    3 04:36:53     -281.679963*       0.3474
LBFGS:    4 04:39:33     -281.831168*       0.4516
LBFGS:    5 04:41:59     -281.956711*       0.5265
LBFGS:    6 04:44:17     -282.067619*       0.5724
LBFGS:    7 04:46:28     -282.173644*       0.5913
LBFGS:    8 04:48:39     -282.280200*       0.5884
LBFGS:    9 04:51:13     -282.390177*       0.5680
LBFGS:   10 04:54:00     -282.509293*       0.5323
LBFGS:   11 04:56:33     -282.640155*       0.4738
LBFGS:   12 04:59:12     -282.781409*       0.4696
LBFGS:   13 05:01:53     -282.916244*       0.4596
LBFGS:   14 05:04:33     -283.039599*       0.4432
LBFGS:   15 05:07:22     -283.154249*       0.4068
LBFGS:   16 05:09:43     -283.262816*       0.3454
LBFGS:   17 05:12:16     -283.362874*       0.2679
LBFGS:   18 05:14:55     -283.447358*       0.2502
LBFGS:   19 05:17:19     -283.519661*       0.2382
LBFGS:   20 05:19:59     -283.579616*       0.3028
LBFGS:   21 05:22:53     -283.623757*       0.3489
LBFGS:   22 05:25:19     -283.680937*       0.3512
LBFGS:   23 05:28:16     -283.768891*       0.2798
LBFGS:   24 05:30:42     -283.854138*       0.3088
LBFGS:   25 05:33:00     -283.896875*       0.2858
LBFGS:   26 05:36:36     -283.920709*       0.2278
LBFGS:   27 05:39:01     -283.935314*       0.1770
LBFGS:   28 05:40:43     -283.946107*       0.1036
LBFGS:   29 05:43:10     -283.957572*       0.0678
LBFGS:   30 05:45:11     -283.960239*       0.0693
LBFGS:   31 05:47:06     -283.961962*       0.0532
LBFGS:   32 05:48:54     -283.963590*       0.0488
