       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 10:16:40     -154.749406*       0.1581
LBFGS:    1 10:18:46     -154.753384*       0.1408
LBFGS:    2 10:22:46     -154.773960*       0.1474
LBFGS:    3 10:25:25     -154.776950*       0.1488
LBFGS:    4 10:28:16     -154.787344*       0.1957
LBFGS:    5 10:31:29     -154.799681*       0.2026
LBFGS:    6 10:35:06     -154.813532*       0.2468
LBFGS:    7 10:38:17     -154.823756*       0.2626
LBFGS:    8 10:41:31     -154.839392*       0.2519
LBFGS:    9 10:44:34     -154.860475*       0.2545
