       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 10:57:35     -154.860471*       0.2539
LBFGS:    1 10:59:58     -154.868326*       0.2203
LBFGS:    2 11:03:38     -154.891575*       0.1324
LBFGS:    3 11:05:53     -154.893514*       0.1298
LBFGS:    4 11:08:52     -154.903422*       0.1447
LBFGS:    5 11:11:39     -154.909647*       0.1528
LBFGS:    6 11:14:49     -154.917045*       0.1767
LBFGS:    7 11:17:26     -154.922174*       0.2027
LBFGS:    8 11:21:09     -154.934929*       0.2263
LBFGS:    9 11:24:40     -154.949680*       0.2093
LBFGS:   10 11:28:35     -154.969929*       0.2455
LBFGS:   11 11:32:05     -154.985334*       0.2373
